"transcript_id" "gene_id" "gene_name"
"193" "ENSDART00000059497.7" "ENSDARG00000094735" "unknown.47"
"194" "ENSDART00000059507.6" "ENSDARG00000040643" "ccr10"
"195" "ENSDART00000059609.6" "ENSDARG00000053928" "unknown.48"
"196" "ENSDART00000059673.3" "ENSDARG00000067977" "nitr7b"
"197" "ENSDART00000059833.7" "ENSDARG00000116555" "unknown.49"
"198" "ENSDART00000059928.5" "ENSDARG00000040890" "fdps_t1"
"199" "ENSDART00000059945.5" "ENSDARG00000040902" "unknown.50"
"200" "ENSDART00000060018.8" "ENSDARG00000040955" "dharma"
"201" "ENSDART00000060087.6" "ENSDARG00000041005" "or30bx1_t1"
"202" "ENSDART00000060125.6" "ENSDARG00000041032" "or40a1_t1"
"203" "ENSDART00000060226.5" "ENSDARG00000018671" "unknown.51"
"204" "ENSDART00000060337.7" "ENSDARG00000114057" "unknown.52"
"205" "ENSDART00000060383.5" "ENSDARG00000000460" "nitr2b"
"206" "ENSDART00000060424.6" "ENSDARG00000041221" "unknown.53"
"207" "ENSDART00000060455.6" "ENSDARG00000041239" "WDR20_g1t1"
"208" "ENSDART00000060458.8" "ENSDARG00000086956" "unknown.54"
"209" "ENSDART00000060522.6" "ENSDARG00000041292" "unknown.55"
"210" "ENSDART00000060590.6" "ENSDARG00000023302" "unknown.56"
"211" "ENSDART00000060693.5" "ENSDARG00000041399" "unknown.57"
"212" "ENSDART00000060713.5" "ENSDARG00000041414" "bmf2_g1t1"
"213" "ENSDART00000060773.6" "ENSDARG00000041454" "taar12b"
"214" "ENSDART00000060785.7" "ENSDARG00000041462" "unknown.58"
"215" "ENSDART00000060795.5" "ENSDARG00000110168" "taar10c_g1t1"
"216" "ENSDART00000060865.7" "ENSDARG00000041515" "unknown.59"
"217" "ENSDART00000060883.6" "ENSDARG00000041530" "ppih_t1"
"218" "ENSDART00000061122.4" "ENSDARG00000041702" "rfx6_t1"
"219" "ENSDART00000061165.7" "ENSDARG00000055809" "vtg2_g1t1"
"220" "ENSDART00000061251.6" "ENSDARG00000041792" "unknown.60"
"221" "ENSDART00000061432.5" "ENSDARG00000041917" "ccl38a.4"
"222" "ENSDART00000061434.6" "ENSDARG00000041923" "ccl38a.3_t1"
"223" "ENSDART00000061520.6" "ENSDARG00000041974" "brk1_t1"
"224" "ENSDART00000061677.6" "ENSDARG00000054313" "zp3f.2_g1t1"
