"transcript_id"	"gene_id"	"gene_name"	"TF"
"ENSDART00000042974.6"	"ENSDARG00000032465"	"slc1a8b_t1"	FALSE
"ENSDART00000043156.6"	"ENSDARG00000033566"	"cyp17a1"	FALSE
"ENSDART00000043823.8"	"ENSDARG00000040027"	"OSBPL10_t1"	FALSE
"ENSDART00000044678.7"	"ENSDARG00000113737"	"unknown.7916"	FALSE
"ENSDART00000044705.7"	"ENSDARG00000028469"	"RPS6KA2"	FALSE
"ENSDART00000046440.7"	"ENSDARG00000006491"	"agpat9l_g2t1"	FALSE
"ENSDART00000046802.7"	"ENSDARG00000075766"	"sccpdha.1"	FALSE
"ENSDART00000047896.8"	"ENSDARG00000044528"	"slc15a1b"	FALSE
"ENSDART00000048432.8"	"ENSDARG00000041926"	"DLG4_g1t1"	FALSE
"ENSDART00000048438.6"	"ENSDARG00000034988"	"asb4"	FALSE
"ENSDART00000048633.8"	"ENSDARG00000034518"	"trdmt1"	FALSE
"ENSDART00000048866.7"	"ENSDARG00000029291"	"ipmkb_t2"	FALSE
"ENSDART00000050445.7"	"ENSDARG00000031817"	"trim2a"	FALSE
"ENSDART00000050957.8"	"ENSDARG00000012196"	"FER_t3"	FALSE
"ENSDART00000052236.6"	"ENSDARG00000035984"	"mnx1"	TRUE
"ENSDART00000052656.6"	"ENSDARG00000036252"	"rras2"	FALSE
"ENSDART00000053218.6"	"ENSDARG00000053315"	"unknown.7929"	FALSE
"ENSDART00000054228.6"	"ENSDARG00000037278"	"lrata"	FALSE
"ENSDART00000055011.7"	"ENSDARG00000058445"	"zgc:136472_g2t1"	FALSE
"ENSDART00000056522.6"	"ENSDARG00000023933"	"SKIL_t2"	TRUE
"ENSDART00000056750.8"	"ENSDARG00000031658"	"unknown.7935"	FALSE
"ENSDART00000056886.4"	"ENSDARG00000038969"	"zgc:113142"	FALSE
"ENSDART00000058277.4"	"ENSDARG00000039843"	"znf800b"	TRUE
"ENSDART00000059264.6"	"ENSDARG00000054031"	"MXD4"	TRUE
"ENSDART00000059861.7"	"ENSDARG00000040838"	"dcun1d2a_g2t1"	FALSE
"ENSDART00000060853.5"	"ENSDARG00000041511"	"pex10"	FALSE
"ENSDART00000061735.5"	"ENSDARG00000042123"	"nudt3b"	FALSE
"ENSDART00000061996.7"	"ENSDARG00000042272"	"tmem231_t2"	FALSE
"ENSDART00000062254.6"	"ENSDARG00000042456"	"mad2l2"	TRUE
"ENSDART00000063764.6"	"ENSDARG00000043436"	"si:dkey-5n18.1"	FALSE
"ENSDART00000063832.6"	"ENSDARG00000043480"	"rbbp8_t2"	FALSE
"ENSDART00000064111.6"	"ENSDARG00000043663"	"faub_g2t1"	FALSE
"ENSDART00000064343.5"	"ENSDARG00000043821"	"klf7b_t1"	TRUE
"ENSDART00000065600.5"	"ENSDARG00000044642"	"sc5d"	FALSE
"ENSDART00000073957.5"	"ENSDARG00000011973"	"slc35d1a"	FALSE
"ENSDART00000074682.6"	"ENSDARG00000052779"	"zgc:153932"	FALSE
"ENSDART00000076154.7"	"ENSDARG00000054025"	"hoxb8b"	TRUE
"ENSDART00000076229.5"	"ENSDARG00000054087"	"IRS1"	FALSE
"ENSDART00000076572.5"	"ENSDARG00000054201"	"rnf40_t1"	FALSE
"ENSDART00000077581.5"	"ENSDARG00000055252"	"snap23.2"	FALSE
"ENSDART00000077635.3"	"ENSDARG00000077504"	"si:ch211-103n10.5"	FALSE
"ENSDART00000078297.5"	"ENSDARG00000055889"	"rbm12ba_t2"	FALSE
"ENSDART00000079566.5"	"ENSDARG00000057004"	"fgl1b"	FALSE
"ENSDART00000080661.5"	"ENSDARG00000057903"	"unknown.7974"	FALSE
"ENSDART00000081154.4"	"ENSDARG00000058306"	"prpf18_g1t2"	FALSE
"ENSDART00000082473.6"	"ENSDARG00000070339"	"hoxc3a_t1"	TRUE
"ENSDART00000082902.7"	"ENSDARG00000059557"	"xylt2"	FALSE
"ENSDART00000083427.5"	"ENSDARG00000057352"	"slc25a29"	FALSE
"ENSDART00000084354.6"	"ENSDARG00000060103"	"cpeb3"	FALSE
"ENSDART00000085309.6"	"ENSDARG00000060501"	"dpcd_t2"	FALSE
